title,sold_price,sold_date,bids,link
Shop on eBay,$20.00,,or Best Offer,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Canon Ftb QL 35mm SLR Film Camera Body With 50mm 1.8 Lens,$36.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",3 bids,https://www.ebay.com/itm/266114986938?epid=83747548&hash=item3df5b073ba%3Ag%3AyZoAAOSwbfFj0%7EJP&amdata=enc%3AAQAHAAAAkMbH%2BS6u%2F0UmNLfGWIAI2QOClNb9V%2FyT89Vzy1xGrEVKt2%2Bf0ZNggHqHXTskVEr%2FqmFqw325%2FN41GZDG540XkvvWS9OIQumtqzwLdk%2FsJFfQDm2%2F4jk6KtlW7gUGOOnTp4mdvPplioqGNfuHF7vFmZNdL54RTdQFftpmhKAfharuyJvt1%2BqjliH1pWu2IhrmcA%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Excellent! Canon EOS Digital Rebel XTi 400D 10.1MP DSLR Camera Body with extra,$79.99,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",or Best Offer,https://www.ebay.com/itm/165926444088?epid=100104969&hash=item26a1fc9c38%3Ag%3AcWQAAOSwILtj4bNg&amdata=enc%3AAQAHAAAAoMZVCHgDKc%2FqG%2Bqt99gu3sY585HfwPoyzU3k5HT3vnVbwdZwbDXqI%2F3XXMfDzgb3F1wJQ%2Bmd7xuofP29WboiH6jUV8QZPh1wOqJmEITKrgUj34T2zLjo%2FVCOtzm4QVSsAFKw7%2F86kHrAByv4S3QfDdWtyJ1p1MJy76Vbx%2F6FxbcUAiwLTYyXltwEu2AIXe0QBkumuo7kSnKE21xpwwF5BYY%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon EOS 6D Mark II 26.2MP Digital SLR Camera,"$1,034.49","<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",1 bid,https://www.ebay.com/itm/155391250800?epid=238611279&hash=item242e0a5170%3Ag%3ArYsAAOSwxOZj3StM&amdata=enc%3AAQAHAAAAkMygm2nHGFcJZWkIKNkBI5mUp4XY4D9IhBt%2F4ORNYdYFalCQewSxy6dsuKl8%2FN72H6bSCRqyIB4BRHjOHMg%2BmI8BETJ%2F5zld3cyPrrdjNSU6ONSUct%2FmFmcL9cq%2Fc%2FEBEhxPf70BiZEzRET%2FsZe6XAWAQ5290NloXifPi%2BPXEXI%2B8zak%2B4vkDN4dPs4tQc5Fgw%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon FX305 Camera Package,$900.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",1 bid,https://www.ebay.com/itm/314369142487?hash=item4931dc6ed7%3Ag%3AQ%7EcAAOSw0EljiRFp&amdata=enc%3AAQAHAAAAkCjf2sb4gb9tEf9vgTir5m1Fnpu1d9aw%2FxKRJUncR3iXmVAHHLlBkqZ51jW4wJOtFe4CcGabgwWhI3V0NK7ke9EuQRVBKKezNk5HOPGBPUrEZlBsXvj9dFCsYY5rDAigJoDc4SPpQs3emDhXgF79UfjAtMdesXMqd5MmW8BGLL9XDHYpjyqA12FAbYpmxdSoOQ%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Perfect Condition - Canon EOS R7 Camera 32.5MP (Body & Accessories Only),"$1,175.00","<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",15 bids,https://www.ebay.com/itm/404153314820?epid=17056687479&hash=item5e196a2e04%3Ag%3A9C8AAOSwxjlj5RJM&amdata=enc%3AAQAHAAAAoOYgAQExmG8PgnsxxiChIm%2F50gPbKFWyL9JmEUAckLWAItS38VEizE44%2Fifswhb6YpgHtJ1UzPb6OMKYVHWmE1her1kGl9v5OCcEeFHIErDZFF8CggmXjYaaNuIqK4dVZ6XuEJr0xzTwsXwsoYt5aeRhC5Vap0gymqAznQ45DgtqtCcutLaw%2B13SqMQ1CgASAo1Sv%2FeYtsR0UbRZaLqvzg4%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon PowerShot SX20 IS 12.1MP Digital Camera 20x Zoom PC1438 Part Only,$15.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/125652745391?hash=item1d417cbcaf%3Ag%3AmbEAAOSwx9hjkQgS&amdata=enc%3AAQAHAAAAkBDVyNBJQuzOHLzTljyrBgpFgWTP6deTrUbRcykYvcZ%2B6nApSzcYJR2eo%2FMTxg8szaulaSlcc3oD0KspafP%2BfwrEqBkjIsAX4sBKjyxC0vAn3YcPQ1UNuWcdIm0JR7862lN%2BNgyKQRGbIwKTbkkIaL1jUmvscwoK4s2fp0uVjGcVMXMpJtzZV0%2BEujqyg4QDVw%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon PowerShot SX50 HS Digital Camera - Black Charger and Bag,$149.99,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/354572163593?epid=128744741&hash=item528e25da09%3Ag%3A-pEAAOSwS5Fj5BmO&amdata=enc%3AAQAHAAAAoH9CzZcWBCiBW1cgPXMg91DN%2Fj5RxHQXTX1mqPr%2FQ4TW1P72axYvH7ITOuvA5CGUq9pPdjtu5R2qe91AxqLzJ60TUacd3Nig4XwRdPgY23uxDnhlCc0mhYi4qNNCESFKRkJAx86oxSRBH7fahIQ39TKDm8bxyWT9Oz6wOEkZzMufUJVh0mJtnJg9Wvaa50tBSPCBvIrbydYCDj19cb5v2QM%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon EOS 6D 20.2MP Digital SLR Camera - Black (8035B002) + 55mm 1.8 Canon Lens,$281.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",2 bids,https://www.ebay.com/itm/404145904839?hash=item5e18f91cc7%3Ag%3AEfwAAOSwBIBj38bt&amdata=enc%3AAQAHAAAAoFOYJzHGILn349EdPmCb%2BkYmsRIYYAisyTVZec6Nk%2BsqKszE3%2BemJ4wt8q%2FBD5Y3DqAPAt7sg61pi1aS3s4XP0xY7gzy587UHtsHPXeIROGCVUA3G1%2BlUoBjnMXDaUHgQy35qwTz8U7phz0ITf9LAUfpdUUdpM%2FdezC%2F8Y4fNw7lilEwXJfrA85mNIOJAm%2BK%2Ba0hsBZ%2BZEmC8pfzVZzaXDs%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon EF-S 24mm f/2.8 STM Pancake Camera Lens - One Owner,$76.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",25 bids,https://www.ebay.com/itm/304794580494?epid=217376847&hash=item46f72c360e%3Ag%3Ayz0AAOSw11Nj30r6&amdata=enc%3AAQAHAAAAkEUoFUvG6A4s3PLlSQFMRVP1qg%2BUBNU6WS3ZVGiHSkHdP%2FTNccBuVuO9Y99dFRUnd%2FhnYEXuWA3bZdDzfGmety8vtmuwGgs6orx2AunyVt0GuZnlgF8Hxlp6TLp%2Fh%2F0BWKr0qpeO8g2phQtl77I0A7Nm4FwCEkYIkpUNngCLRBO0yjP1%2BdyAF0G0DQKMnv8AMg%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
New ListingCanon EOS 200ES Shoulder Bag (Black) Free Shipping ,$15.99,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/364140892524?epid=23039212419&hash=item54c87d116c%3Ag%3AuqYAAOSwI9Rjbj3R&amdata=enc%3AAQAHAAAAoIXQmeQbhYf0DsUcQK7UBXCY0Qk4YWxBIYpDNIZY94%2F20q3H4KZDcUV7%2BXkV1gc22guAutyTIY%2B9iSIvD80pxZKcxyrf5tEdIY78EmzhTioSL73kQ5UYmsxNpb8UFAI2BF%2F3%2FFN23gqf3J77Uj0PVNo4YBvfSeJZuERy4Dz%2Fi%2FwGhiyY8QccYM0kFJbZh8Tq%2Fc0Qtyeb%2B3Nl40wtVXgSoQo%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon PowerShot A4000 IS 16.0MP Digital Camera - Silver with Case,$65.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",or Best Offer,https://www.ebay.com/itm/304793470194?epid=113361739&hash=item46f71b44f2%3Ag%3AtOoAAOSwqM9j3qVQ&amdata=enc%3AAQAHAAAAkAR1OSvEo%2FaySrANDTbpvOao4u9wIHbe7w7qInb5CljzhyGKVsZ8gWTXcbXA%2BYhK4r%2BgjTFLdmzqqqQTSGxWG4jQM47adal5RKGw%2B56wyo7eveJmHlplTYug8eFIQ8phCa%2BSOinxeslzm1O9j1J1FfK4VH4PR78upSJUWCnG5%2FfNFrao%2B5S7VMtD6hThHopF6A%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon Camera EOS Rebel T4i,$200.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/325526868447?hash=item4bcae9d1df%3Ag%3A%7EUkAAOSw21Nj4mgf&amdata=enc%3AAQAHAAAAoHzuZznQQTiatt%2FOrKUyUJdjBylh2q4H%2Bps%2FvzIELRuhaWWz18hGDVAFlAq21DnJ9MJQBoMePgNico%2FDMFhL1BdlfXyp9AcE6Dc6eW679%2F2ABo87UAk74JDDwAYiIkm0hirLr%2BWOW%2B7q5VAFzaiSs1DGNtJPdIynVSRWQqOUys3jIFm3b0slazaJdSydhdYaGdQCUV10DtH24h9I99CyVgk%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon PowerShot A95 5 MP Digital Camera 3x Optical Zoom Silver TESTED! FREE SHIP,$139.99,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/134440194219?hash=item1f4d4290ab%3Ag%3AkPkAAOSwx3Jj4Z8e&amdata=enc%3AAQAHAAAA4H5Ar46BVGxGLIUaQHJCDUDcAwJiMMXOLfPK8QrVZ8NBuMlGATNxICz48Owuqy8beegWBByAZd%2BUWqu9lQbV%2Fn2WS0SqywKTNARzi1Y0ZLaizp9VF7Jx5PhSFahAKi0PpFKTVSAG9BhRwbxs%2BVToIPFCJM8Qe9TPkvadmKcbh0JGEbmqHhbmO5cvDpGHh%2FnSZSWorGYJDfVV9r8y7vB9W4gELv04d81nD3u6Tk%2Bw2Zw29qzpmLsEwHo%2BrXK5iCeiHF%2B4wAK0DrMSyUxxzQbEysseaeRoHcCiD3TC5%2FJun0Vb%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon VIXIA HF R80 Portable Video Camera Camcorder wifi,$242.50,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",4 bids,https://www.ebay.com/itm/165920887814?epid=233060954&hash=item26a1a7d406%3Ag%3AwTYAAOSwruxj3ScX&amdata=enc%3AAQAHAAAAkO8szWk4OKf0xOvL3xfCYGEMIuvybNnLnNw1rPTfR4kAP837MTKNFN0VYp%2BrjDVk3%2BlPl8vwTxgnqpF1uROG5CYY6Cw1rLUNXhKy94K%2BLPcSGoa00p51lA0mu9ZI0jZbClKac4J8k%2BnRm4Onlp%2BcBtmauMVrxF5wbjZWGYZSHxrHKshD%2BJmRtYlbKTn30Udfug%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon Eos 60d Dslr digital Camera with zoom lens and accessories ,$250.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",1 bid,https://www.ebay.com/itm/374494663605?hash=item57319f13b5%3Ag%3AYjAAAOSwmqljVcza&amdata=enc%3AAQAHAAAAkBa19Z0fEDkMC4XDWlh8Ci1KZKINFo9who8BxUiQa4PdHwLRe7ldlUi6l74A78OFXRcI%2BJ%2FZ%2B420VJezYkyMylaEvLQArh%2FCIi6EADmtNkXELkSKZzhRVMDXmVd6I6ctAQ6AK3mjAPpd68CuFyYQz5tOyIO4ArGKVJRuMjdbSBh1LCXKk%2B6Bq8IzG3D26gtKUA%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
New ListingCanon Sure Shot 80 Tele SAF 35mm Point & Shot Camera W/ Case - Tested Works,$90.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",or Best Offer,https://www.ebay.com/itm/155401214166?hash=item242ea258d6%3Ag%3AZqYAAOSwhvdj5ZIt&amdata=enc%3AAQAHAAAAkA%2F8zNNvRkDry4sXrqCw55Qtyv6p3tGPgftlI48ElNPH4eJsRzaEOrh3Q%2BL8RvD3WK9EbDlxMsrFEf9ZxXA0E5HxZdA6yI8neVtfr%2FqyBKQTcZHGmlm1AX%2FRYi33c3OKh34Lsm1Y4tYJvBP%2Fxo1EQZcjk8%2B6m4Qc1GISfpfv7g%2FOCCfx60EE8pqnDujs2tmmoQ%3D%3D%7Ctkp%3ABk9SR5qI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
Canon EOS 5D Mark III 22.3 MP Digital SLR Camera - Black (Body Only),$550.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/354534872095?epid=113297147&hash=item528becd41f%3Ag%3AwtAAAOSwvoBjzMd3&amdata=enc%3AAQAHAAAAoI9u%2FopXng%2BBwXA2VFIg8hDL%2F9NI5vF1%2FlN2auiPyQIu427wGtMM0uzpg9coZZtTYDBMZH7enexwxAOcpuga%2BvHYwz7XocDb8djSczx4rud5mXYO1s3qE4JF3VgwJihCco5BUN6zSpQIlOa6%2BJnZIvZnU3wDgCcHPSien51r6Xmon4uD%2F%2FWQpdpLxmPn0XRGuqs5GDFbyPuigZl5Sd6U8hA%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
New ListingOriginal Canon LP-E10 Lithium-Ion Battery Pack for EOS 1100D 1200D DEU STOCK,$16.00,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",Buy It Now,https://www.ebay.com/itm/364141241323?epid=143392633&hash=item54c88263eb%3Ag%3AW8wAAOSwwlVj5ZB3&amdata=enc%3AAQAHAAAAoFq%2BV41%2F%2BgP7VywSH8kx1o5f1tqM31a12larmyZ1mCxco6jLRK8MLiEntysORf79f1Pyu8rDmoF9NqVpPKGTHSBS2OWvqTMdbWfQMlV%2FcUGoM55QNdTXGTpHvd0q95teTehDyro4JNiEGI5pIPpibu%2F2cfFH%2BB4DPG9pk4OkyuXbByB%2BAF6cEcPMlR9MtIBZNoNFaj1qAAIy%2FlWmvhl24cw%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
New ListingCanon EOS R Mirrorless Digital Camera 30.3MP Full-Frame CMOS [Parts/Repair] #459,$522.42,"<span class=""POSITIVE"">Sold  Feb 10, 2023</span>",or Best Offer,https://www.ebay.com/itm/404155226729?hash=item5e19875a69%3Ag%3AJ9IAAOSwOiFj5lJS&amdata=enc%3AAQAHAAAAoDqXnetVvU7oJ2daQ0cubF1nXDPmsv%2Fabp%2F0sCJ%2FUtrzoMRjy%2B9Z6SKAzP93mmNNyzXdj8Q4tHYzpDQyVdRTrrcDqvzrhPj2ZYPgE2s8JTazRwWSu1dE5Wj4Yvpiov%2Bw15kPBr4lvNsm7kehrSmZWxIrDoQJFgHk4LsFNoKDqk60aBRGIB8LPTsVx5aa102RE6%2B02BunoXXOKs39zSHA3zM%3D%7Ctkp%3ABk9SR5yI7sDHYQ&LH_Auction=1https%3A%2F%2Fwww.ebay.com%2Fsch%2Fi.html%3F_from%3DR40%7C1
